Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
60529;184;325;434;393;328;619;805;293
60539;184;326;435;394;328;620;805;294
60549;184;325;434;393;328;619;804;293
60559;184;324;434;392;328;619;804;293
60569;184;325;434;393;327;620;804;293
60579;184;324;434;392;327;619;804;293
60589;184;324;434;392;327;619;804;293
60599;184;325;434;393;326;619;804;293
60609;184;325;434;392;326;620;803;293
60619;184;324;434;392;326;620;803;293
60630;184;324;434;393;326;621;803;294
60639;183;324;434;393;325;620;803;293
60649;183;324;434;393;325;621;803;293
60659;183;324;434;393;325;621;802;293
60669;183;324;433;393;324;620;803;293
60679;183;324;432;394;324;620;803;294
60689;183;324;432;394;324;620;803;294
60699;183;324;431;395;323;620;803;294
60709;183;324;432;395;323;620;803;295
60719;183;323;430;395;322;620;803;294
60729;183;323;429;396;320;620;803;294
60739;183;323;428;396;321;621;803;294
60749;182;323;427;397;320;621;803;295
60759;182;323;427;397;319;621;803;295
60769;182;323;426;396;319;620;803;294
60779;182;323;425;396;318;620;803;295
60789;182;322;424;395;318;620;803;295
60800;182;323;423;395;317;621;803;296
60809;181;323;423;396;317;621;803;295
60819;181;323;422;394;316;621;803;295
60829;181;322;421;394;316;621;804;295
60839;181;322;421;394;316;621;803;295
60849;180;322;420;393;316;621;804;295
60859;180;322;420;393;316;621;804;296
60869;180;322;419;393;317;621;804;296
60879;180;322;418;393;316;621;804;296
60889;180;322;418;392;316;621;804;296
60899;180;322;418;392;317;622;803;296
60909;179;322;417;392;316;621;804;296
60919;180;322;417;392;316;621;804;296
60929;180;322;417;392;316;621;804;296
60939;179;322;416;392;316;622;804;296
60949;180;321;416;392;316;622;804;296
60959;179;321;416;392;316;622;804;296
60969;179;321;416;392;317;622;804;296
60979;179;321;415;392;316;622;804;296
60989;179;321;415;392;317;622;804;297
60999;180;321;416;392;317;622;804;296
61009;180;321;415;392;317;623;805;296
61019;180;321;415;392;317;622;804;296
61029;180;321;415;392;317;623;804;297
61049;179;322;416;392;318;622;804;296
61059;179;322;416;392;318;623;805;296
61069;179;322;416;392;318;623;804;296
61079;179;322;416;392;318;622;804;296
61089;178;322;416;392;318;623;803;296
61100;178;322;417;392;319;622;803;296
61109;178;322;417;392;318;623;804;296
61119;178;322;417;393;319;623;803;296
61129;178;323;417;392;319;623;803;295
61139;178;322;417;392;319;623;803;295
61149;179;322;418;393;319;623;803;295
61159;179;322;418;393;319;623;802;295
61169;179;321;418;393;319;623;802;295
61179;179;322;418;393;321;624;803;294
61189;179;322;419;392;320;623;803;294
61199;179;322;419;392;319;623;802;294
61209;179;321;419;392;319;623;802;294
61219;179;322;419;392;319;623;802;294
61229;178;322;419;393;319;624;801;294
61239;179;322;419;393;319;623;802;293
61249;179;322;419;393;319;624;802;293
61259;179;322;418;394;319;624;801;293
61270;179;322;419;394;319;624;802;292
61279;179;321;419;393;319;624;802;292
61289;179;322;418;394;318;624;801;291
61299;178;322;419;393;318;624;802;291
61309;179;321;418;394;318;624;802;290
61319;179;321;419;393;318;624;802;290
61329;179;321;418;394;318;624;802;290
61339;179;321;418;393;318;624;802;290
61349;178;321;418;394;318;625;802;290
61359;178;321;418;394;317;625;802;290
61369;178;321;418;395;318;625;802;289
61379;178;321;418;396;318;625;802;289
61389;178;320;418;395;317;626;801;289
61399;178;320;418;396;318;625;802;288
61409;178;320;419;396;317;625;802;288
61419;178;321;419;397;318;626;803;288
61429;177;320;419;397;318;625;801;286
61440;177;320;418;397;317;624;801;286
61449;177;320;419;397;318;625;801;285
61459;177;320;419;398;318;624;801;285
61469;177;320;419;397;318;624;801;284
61479;177;320;419;398;318;624;801;284
61489;177;320;419;397;319;623;800;283
61499;177;320;420;398;319;623;801;282
61509;177;321;419;397;319;624;800;282
61519;177;320;420;398;320;623;801;281
61529;177;320;420;398;320;623;800;280
61539;177;320;420;398;320;623;800;280
61549;177;320;421;398;320;623;800;280
61559;177;320;420;398;320;623;800;279
61569;177;320;420;398;320;623;799;278
61579;177;320;421;398;321;622;798;278
61589;177;320;421;397;321;622;797;277
61599;177;320;421;398;321;622;796;277
61609;177;320;421;398;321;622;795;276
61619;177;320;422;398;321;620;795;275
61629;177;320;422;398;321;620;795;275
61639;177;320;423;398;321;620;793;274
61649;177;320;422;398;321;619;792;273
61659;178;320;422;398;322;618;791;271
61669;178;320;422;398;322;617;790;270
61679;178;320;423;398;322;616;789;269
61689;178;320;423;398;322;615;788;269
61699;177;321;423;399;322;615;788;266
61709;178;321;424;398;323;614;788;265
61719;178;321;424;399;323;613;787;264
61729;178;321;424;398;323;612;786;263
61740;178;321;423;399;323;612;786;262
61749;178;321;423;398;324;611;786;261
61759;178;321;423;398;324;610;785;261
61769;178;321;424;399;324;610;785;260
61779;178;322;423;399;324;610;785;260
61789;178;322;423;399;324;609;785;259
61799;177;322;423;399;324;609;785;260
61809;178;322;423;399;324;609;787;260
61819;178;322;423;398;324;609;785;260
61829;178;322;423;398;324;609;785;260
61839;178;323;423;399;324;609;785;260
61849;178;323;423;399;324;609;785;260
61859;178;323;424;399;325;609;786;260
61869;178;323;423;398;324;608;785;260
61879;178;323;423;399;324;609;785;260
61889;178;323;424;398;324;609;786;260
61899;178;323;424;399;324;609;786;261
61910;179;323;424;398;325;609;786;261
61919;178;323;425;399;325;609;786;262
61929;179;323;425;399;325;609;787;262
61939;179;323;425;399;325;610;787;263
61949;179;324;426;399;325;610;787;264
61959;180;324;427;398;325;610;787;264
61969;180;324;427;399;325;611;787;265
61979;180;324;428;399;325;611;787;266
61989;180;324;429;399;325;611;787;267
61999;180;325;430;399;325;611;787;267
62009;181;325;432;399;325;611;787;268
62019;182;325;433;398;325;611;787;268
62029;182;325;435;398;326;611;786;268
62039;183;326;437;398;326;611;786;269
62049;184;326;439;398;326;611;785;269
62059;185;326;442;398;326;611;785;269
62069;185;327;444;398;327;611;785;270
62080;186;327;446;398;327;611;784;270
62089;187;327;448;397;327;611;784;270
62099;188;327;449;397;327;611;783;270
62109;189;326;450;397;327;611;783;270
62119;189;327;452;397;328;611;783;271
62129;190;327;453;397;329;611;783;272
62139;190;327;454;398;328;610;783;272
62149;191;327;455;397;329;611;783;272
62159;192;328;456;398;329;610;783;271
62169;192;327;457;398;329;611;783;272
62179;192;327;457;398;330;610;782;272
62189;194;328;458;398;330;610;782;272
62199;193;327;458;398;330;611;782;273
62209;194;328;459;399;330;610;783;272
62219;194;328;458;399;330;610;782;273
62229;194;329;459;399;331;610;782;273
62239;195;329;459;399;331;610;782;273
62249;195;328;459;399;332;610;782;273
62259;195;329;459;399;332;610;782;274
62269;195;328;460;398;331;610;782;274
62279;194;328;460;399;331;610;782;274
62289;194;328;460;398;332;610;783;275
62299;195;329;460;399;332;611;783;275
62309;195;329;460;398;333;611;783;275
62319;194;329;460;398;333;611;784;276
62329;195;328;460;398;333;611;785;276
62339;195;329;460;399;333;611;785;276
62349;195;329;461;398;333;612;785;277
62359;195;329;460;398;334;613;786;277
62369;194;328;460;399;333;613;787;278
62380;195;329;460;398;333;612;787;278
62389;195;329;460;398;333;613;788;278
62399;195;329;461;399;334;614;789;278
62409;195;329;460;399;334;614;790;279
62419;195;329;460;398;334;614;790;279
62429;196;328;460;398;335;614;791;279
62439;195;329;460;398;334;614;791;280
62449;195;329;460;398;334;614;792;280
